ID,Locality,Lat,Long,Coordinates,Locality Details,Site_ID,Species,Sex,Age,Date captured,Year,d2H,Sr,Uncertainty,d2Hrev,Reference
36,Washingthon,48.66223,-117.9829,,,,Sharped-shinned,,Juvenile,,,,,,-81.1,Wommack et al. 2020
37,Washingthon,46.79025,-117.2521,,,,Sharped-shinned,,Juvenile,,,,,,-87,Wommack et al. 2020
38,Washingthon,46.73064,-117.1625,,,,Sharped-shinned,,Juvenile,,,,,,-67.4,Wommack et al. 2020
39,Wyoming,44.27615,-110.4736,,,,Sharped-shinned,,Juvenile,,,,,,-103.7,Wommack et al. 2020
40,Wyoming,43.83333,-110.7,,,,Sharped-shinned,,Juvenile,,,,,,-75.1,Wommack et al. 2020
41,Colorado,40.39162,-105.9051,,,,Sharped-shinned,,Juvenile,,,,,,-62.2,Wommack et al. 2020
42,Washingthon,47.8674,-122.516,,,,Sharped-shinned,,Juvenile,,,,,,-35.6,Wommack et al. 2020
43,Arizona,35.1957,-111.6326,,,,Sharped-shinned,,Juvenile,,,,,,-26,Wommack et al. 2020
44,California,35.50708,-118.3434,,,,Sharped-shinned,,Juvenile,,,,,,-85.3,Wommack et al. 2020
219,YUK,64.4,-140.52,"Yukon River, near Forty-Mile",,MVZ 4956,NG,,,,,-175.6,,,-138.78852,Lott and Smith 2006
200,AK,64.94,-141.31,"60 mi below Forty Mile, Yukon River",,MVZ 4966,RT,,,,,-166,,,-130.6122,Lott and Smith 2006
189,NWT,62.92,-135.01,"Yukon/ 50 Mile River, 4 mi along Miles Canyon",,HWICH130341,RT,,,,,-158.2,,,-123.96894,Lott and Smith 2006
87,BC,59.59,-133.71,Atlin,,HWIMVZ99773,RT,,,,,-154.6,,,-120.90282,Lott and Smith 2006
208,YUK,62.7,-131.5,"Sheldon Lake,",,CMN30007,NH,,,,,-154.2,,,-120.56214,Lott and Smith 2006
209,NUN,67.47,-97.35,"Sherman Basin,",,CMN46561,RL,,,,,-152.7,,,-119.28459,Lott and Smith 2006
93,BC,57.89,-131.21,"Cassiar Land Distr., Telegraph Creek",,CMN49665,AK,,,,,-149.5,,,-116.55915,Lott and Smith 2006
161,BC,58,-130,,,CMN49654,NG,,,,,-145.8,,,-113.40786,Lott and Smith 2006
171,YUK,60.14,-132.34,"Nisutlin Riv.,",,CMN30006,NG,,,,,-144,,,-111.8748,Lott and Smith 2006
258,ALTA,53.56,-113.74,"Devon, Sec 24, Twp 50, R 27, W 4",,ROM78601,AK,,,,,-143.3,,,-111.27861,Lott and Smith 2006
168,BC,58.44,-130.03,"Dease Lake, 20 m south",,CMN49655,NG,,,,,-140,,,-108.468,Lott and Smith 2006
156,NUN,65.64,-62.82,"Baffin Island, Cumberland Gulf, Cape Mercy",,AMNH470919,RL,,,,,-139.6,,,-108.12732,Lott and Smith 2006
127,MAN,56.04,-95.6,"Ilford,",,CMN27045,RT,,,,,-139.2,,,-107.78664,Lott and Smith 2006
234,YUK,69.45,-139.5,Herschell Island,,AMNH119366,RL,,,,,-135,,,-104.2095,Lott and Smith 2006
262,ALTA,53.41,-113.57,"Woodbend, 10 mi SW of Edmonton",,ROM80435,AK,,,,,-134.5,,,-103.78365,Lott and Smith 2006
92,BC,55.21,-127.69,"Cassiar Land Distr., Hazelton",,CMN11294,AK,,,,,-133.1,,,-102.59127,Lott and Smith 2006
142,CO,39.63,-105.32,Evergreen,,DMS39346,SS,,,,,-130.1,,,-100.03617,Lott and Smith 2006
211,ALTA,52.86,-118.11,"Jasper National Park,",,CMN13722,AK,,,,,-129.7,,,-99.69549,Lott and Smith 2006
250,Sask,53.56,-105.58,Emma Lake,,ROM33007,AK,,,,,-129.7,,,-99.69549,Lott and Smith 2006
225,NUN,66.68,-83.76,"Melville Peninsula, Cape Martineau",,AMNH442645,RL,,,,,-129.1,,,-99.18447,Lott and Smith 2006
251,ALTA,51.85,-112.85,"Red Deer Riv. (AB),",,CMN19706,PR,,,,,-128.4,,,-98.58828,Lott and Smith 2006
102,ID,44.2,-115.02,,,BSU42,NG,,,,,-127.7,,,-97.99209,Lott and Smith 2006
263,ALTA,53.56,-113.47,Edmonton,,HWIMVZ99950,ML,,,,,-126.8,,,-97.22556,Lott and Smith 2006
217,AK,65.35,-143.12,"Yukon River, Coal Creek",,BYU2379,PG,,,,,-126.1,,,-96.62937,Lott and Smith 2006
151,BC,49.3,-115.11,"Kootenay Land Distr., Elko",,CMN38619,CH,,,,,-126,,,-96.5442,Lott and Smith 2006
259,ALTA,52,-111.86,Sullivan Lake,,ROM81939,BW,,,,,-125.7,,,-96.28869,Lott and Smith 2006
164,Sask,59.46,-108.48,Goldfields,,ROM72284,ML,,,,,-124.4,,,-95.18148,Lott and Smith 2006
227,ALTA,49.88,-113.08,"Nobleford,",,CMN44465,NH,,,,,-124.3,,,-95.09631,Lott and Smith 2006
193,AK,63.64,-149.56,"Mt. McKinley Park, Igloo creek",,HWIMVZ62829,ML,,,,,-124.3,,,-95.09631,Lott and Smith 2006
248,ALTA,51.66,-112.77,"Morrin,",,CMN9364,AK,,,,,-124,,,-94.8408,Lott and Smith 2006
32,WA,47.57,-120.6,Peshastin,,PSM12658,AK,,,,,-122,,,-93.1374,Lott and Smith 2006
159,BC,54,-124,"Range 5 Coast Land Distr., Vanderhoof",,CMN13736,NH,,,,,-121.8,,,-92.96706,Lott and Smith 2006
201,Man,57.98,-101.39,"Dubrocher lake, Cochrane River",,ROM86291,ML,,,,,-119.4,,,-90.92298,Lott and Smith 2006
110,BC,49.4,-119.4,Okanagan,,MVZ 99794,SW,,,,,-118.8,,,-90.41196,Lott and Smith 2006
187,MT,45.35,-113.54,,,BSU82,NG,,,,,-118.3,,,-89.98611,Lott and Smith 2006
158,Lab,53.24,-60.1,Goose Bay (several locations with that name),,ROM68678,NG,,,,,-117,,,-88.8789,Lott and Smith 2006
47,OR,48.41,-119.53,Harney Co,,AMNH750427,PR,,,,,-116.8,,,-88.70856,Lott and Smith 2006
68,OR,44.32,-117.94,Ironside,,AMNH352649,SW,,,,,-116.4,,,-88.36788,Lott and Smith 2006
246,Sask,49.3,-109.52,"4 mi N Consul, Smith, C Farm",,ROM110716,SW,,,,,-116,,,-88.0272,Lott and Smith 2006
177,MT,45.19,-113.41,,,BSU70,NG,,,,,-115.2,,,-87.34584,Lott and Smith 2006
96,BC,53,-122,Cariboo,,AMNH352956,ML,,,,,-115.1,,,-87.26067,Lott and Smith 2006
123,BC,50.74,-120.81,Savona,,ROM84976,AK,,,,,-114.8,,,-87.00516,Lott and Smith 2006
99,ID,44.3,-115.06,,,BSU32,NG,,,,,-114.4,,,-86.66448,Lott and Smith 2006
210,NUN,67.47,-97.35,"Sherman Basin,",,CMN46577,PG,,,,,-113.9,,,-86.23863,Lott and Smith 2006
41,WA,48.1,-119.78,Brewster,,UW63355,RT,,,,,-113.5,,,-85.89795,Lott and Smith 2006
109,BC,49.4,-119.4,Okanagan,,HWIMVZ99676,CH,,,,,-112.9,,,-85.38693,Lott and Smith 2006
144,BC,49,-119,Kalowna,,CMN47626,NG,,,,,-112.2,,,-84.79074,Lott and Smith 2006
173,AK,64.8,-147.94,"Tanana River, Chena Bluff",,BYU18113,PG,,,,,-112,,,-84.6204,Lott and Smith 2006
197,AK,65.85,-144.06,"Yukon River, 12 mi upriver from Circle City ",,BYU2392,PG,,,,,-111.4,,,-84.10938,Lott and Smith 2006
157,NUN,57.02,-76.41,"Christie Island, Nasstapoka Chain",,CMN774,RL,,,,,-111.3,,,-84.02421,Lott and Smith 2006
180,Man,58.63,-94.19,Churchill,,HWINY1058,NH,,,,,-111.3,,,-84.02421,Lott and Smith 2006
230,Man,51.82,-98.38,"Gypsumville, Lake St Martin Indian Reserve",,ROM34.7.18.52,BW,,,,,-111.3,,,-84.02421,Lott and Smith 2006
46,WA,47.13,-119.28,"Moses Lake, 11.5 mi S, 13 mi W",,UW47831,SW,,,,,-110.9,,,-83.68353,Lott and Smith 2006
260,ALTA,52.18,-113,,,CMN10484,RT,,,,,-110.6,,,-83.42802,Lott and Smith 2006
243,Sask,49.85,-102.31,Crane Lake,,AMNH352660,SW,,,,,-110.2,,,-83.08734,Lott and Smith 2006
29,UT,38.57,-109.55,Moab,,BYU9037,RT,,,,,-110,,,-82.917,Lott and Smith 2006
256,ALTA,52.27,-113.83,Red Deer,,ROM35849,SS,,,,,-110,,,-82.917,Lott and Smith 2006
150,YUK,60.46,-136.98,Dezadeash Lake,,ROM71274,SS,,,,,-109.5,,,-82.49115,Lott and Smith 2006
141,BC,52.18,-121.96,Carpenter Mt.,,MVZ 99964,ML,,,,,-109.2,,,-82.23564,Lott and Smith 2006
100,BC,50.55,-119.13,"Kamloops Division Yale Land Distr., Enderby",,CMN525,CH,,,,,-109.1,,,-82.15047,Lott and Smith 2006
239,NWT,69.43,-129,"Anderson River (NT),",,CMN42530,PG,,,,,-108.9,,,-81.98013,Lott and Smith 2006
205,NWT,60.39,-111.59,"Taltson Riv.,",,CMN7697,PG,,,,,-108.8,,,-81.89496,Lott and Smith 2006
63,CA,41.36,-120.22,"Warner Mts., head Pine Creek",,MVZ 14090,NG,,,,,-108,,,-81.2136,Lott and Smith 2006
108,BC,49.4,-119.4,Okanagan,,HWICH130673,NH,,,,,-107.5,,,-80.78775,Lott and Smith 2006
72,WA,46.38,-117.22,Wawawai,,ROM36304,PR,,,,,-107.5,,,-80.78775,Lott and Smith 2006
48,WA,48.41,-119.53,Omak,,PSM21720,AK,,,,,-106.7,,,-80.10639,Lott and Smith 2006
43,CO,39.57,-107.54,New Castle,,AMNH352633,SW,,,,,-106.6,,,-80.02122,Lott and Smith 2006
89,OR,45.33,-118.09,"LaGrande, 8 mi SE",,UW35358,AK,,,,,-106.4,,,-79.85088,Lott and Smith 2006
207,MT,45.77,-112.91,,,BSU76,NG,,,,,-106.1,,,-79.59537,Lott and Smith 2006
264,ALTA,53.91,-114.3,"Lac la Nonne,",,CMN21472,SS,,,,,-106.1,,,-79.59537,Lott and Smith 2006
252,ALTA,52,-113,"Red Deer Riv. (AB),",,CMN10500,PG,,,,,-105.1,,,-78.74367,Lott and Smith 2006
160,WY,44.33,-107.4,,,SUM88,NG,,,,,-104.5,,,-78.23265,Lott and Smith 2006
174,Ont,48.91,-80.6,"Kaminisinakwa River, Lake Abitibi",,ROM25.10.16.45,AK,,,,,-104.4,,,-78.14748,Lott and Smith 2006
176,MAN,56.5,-94.21,"Bird,",,CMN26944,AK,,,,,-104.3,,,-78.06231,Lott and Smith 2006
136,AK,70.82,-155.2,"Meade River, 40 mi E Barrow",,FMNH157016,PG,,,,,-104.2,,,-77.97714,Lott and Smith 2006
113,BC,53.26,-121.26,Indianpoint Lake,,MVZ 65620,SS,,,,,-104.1,,,-77.89197,Lott and Smith 2006
257,Sask,52.8,-106.5,Carlton,,ROM33002,NH,,,,,-103.2,,,-77.12544,Lott and Smith 2006
73,AK,69.37,-152.15,Umiat,,BYUarc134,PG,,,,,-102.5,,,-76.52925,Lott and Smith 2006
253,SASK,51.53,-108,"Rosetown,",,CMN24870,NH,,,,,-101.2,,,-75.42204,Lott and Smith 2006
56,OR,42.01,-121.41,Malin,,HWIHSU1,AK,,,,,-101.1,,,-75.33687,Lott and Smith 2006
153,MT,46.25,-114.16,Hamilton,,MSU12595,RT,,,,,-101,,,-75.2517,Lott and Smith 2006
245,Sask,49.6,-109.5,North Cypress Hills,,ROM35864,SS,,,,,-100.8,,,-75.08136,Lott and Smith 2006
202,Ont,52.8,-93.65,Favourable Lake Mine,,ROM30645,BW,,,,,-100,,,-74.4,Lott and Smith 2006
138,BC,51.78,-121.46,Lac la hache,,ROM86035,SS,,,,,-97.3,,,-72.10041,Lott and Smith 2006
247,SASK,49.23,-109.1,"Old Man On His Back Plateau,",,CMN33044,PR,,,,,-96.8,,,-71.67456,Lott and Smith 2006
221,Ont,49.93,-94.98,Malachi,,ROM74438,RT,,,,,-95.5,,,-70.56735,Lott and Smith 2006
146,BC,54,-123.86,"Francois Lake, on Ferry, N side of François Lake",,ROM134353,ML,,,,,-94.4,,,-69.63048,Lott and Smith 2006
249,Sask,49.9,-109.5,Maple Creek,,AMNH352790,NH,,,,,-93.7,,,-69.03429,Lott and Smith 2006
25,AK,55.82,-130.93,"Belim Canal, Chickamin River",,MVZ 9769,RT,,,,,-92.7,,,-68.18259,Lott and Smith 2006
149,BC,51.61,-120.08,"Cariboo Land Distr., Dog Creek",,CMN47661,PR,,,,,-92.5,,,-68.01225,Lott and Smith 2006
237,ALTA,50.76,-111.51,Little sandhill creek,,AMNH750508,ML,,,,,-92.2,,,-67.75674,Lott and Smith 2006
238,ALTA,50.76,-111.51,"Little Sandhill Creek,",,CMN10603,ML,,,,,-91.9,,,-67.50123,Lott and Smith 2006
77,ID,44.89,-116.14,Copeland Flats,,DMS21181,PR,,,,,-91.7,,,-67.33089,Lott and Smith 2006
140,BC,49.06,-123.93,"Gabriola Is, Gulf Is, W side Strait of Georgia, ",,ROM159974,SS,,,,,-91.3,,,-66.99021,Lott and Smith 2006
8,UT,40.45,-111.78,Alpine,,BYU2049,NG,,,,,-90.9,,,-66.64953,Lott and Smith 2006
240,ND,48.96,-99.81,"Oak Lake, Turtle Mts",,HWICH130373,RT,,,,,-90.9,,,-66.64953,Lott and Smith 2006
5,CA,39.41,-120.14,Sagehen Creek,,MVZ 124328,NG,,,,,-89.1,,,-65.11647,Lott and Smith 2006
57,ID,42,-116.89,"S Fork Owyhee River, 22 mi N Nevada line",,MVZ 72310,AK,,,,,-87.6,,,-63.83892,Lott and Smith 2006
75,NV,40.18,-118.47,Lovelock,,HWIMVZ69427,CH,,,,,-87.4,,,-63.66858,Lott and Smith 2006
184,Ont,48.41,-89.5,Murillo,,ROM27960,AK,,,,,-86.8,,,-63.15756,Lott and Smith 2006
14,Ont,44.79,-79.71,Port Severn,,ROM146746,RT,,,,,-86.3,,,-62.73171,Lott and Smith 2006
78,WA,48.56,-122.4,Edison,,PSM19971,RT,,,,,-85.9,,,-62.39103,Lott and Smith 2006
244,ALTA,51.03,-114.05,Calgary,,AMNH442455,ML,,,,,-85.5,,,-62.05035,Lott and Smith 2006
124,AK,70.7,-154.41,"Ikpikpuk River, North Slope",,BYU6042,PG,,,,,-85.4,,,-61.96518,Lott and Smith 2006
12,ID,46.38,-115.94,Weippe,,HWIMVZ61344,SS,,,,,-85.2,,,-61.79484,Lott and Smith 2006
83,ID,48.48,-116.85,Coolin/Priest Lk,,HWIMVZ144621,SS,,,,,-85.1,,,-61.70967,Lott and Smith 2006
166,QU,48.8,-78.86,"Mun. Rég. de Cté d'Abitibi-Ouest, Authier-Nord",,CMN79113,AK,,,,,-83,,,-59.9211,Lott and Smith 2006
203,ONT,50.3,-92.5,"Kenora Distr. (ON), Lac Seul",,CMN13872,BW,,,,,-82.9,,,-59.83593,Lott and Smith 2006
45,CO,39.22,-108.86,Mack,,DMS42440,SW,,,,,-82.9,,,-59.83593,Lott and Smith 2006
121,CO,40.59,-105.08,Fort Collins,,AMNH802442,NG,,,,,-82.4,,,-59.41008,Lott and Smith 2006
85,NY,42.81,-73.94,Schenectady,,AMNH352071,NG,,,,,-82.1,,,-59.15457,Lott and Smith 2006
218,Ont,48.72,-94.34,Rainy River,,ROM29.9.9.34,RT,,,,,-79.9,,,-57.28083,Lott and Smith 2006
4,CA,39.03,-120.12,"Meeks Bay, Lake Tahoe",,MVZ 25842,AK,,,,,-79.5,,,-56.94015,Lott and Smith 2006
95,WA,48.94,-119.43,Oroville,,PSM10506,NG,,,,,-78.5,,,-56.08845,Lott and Smith 2006
53,AK,55.99,-160.36,Port Moller,,AMNH269936,RL,,,,,-78.2,,,-55.83294,Lott and Smith 2006
42,AK,57.02,-135.15,Sitka,,MVZ 32240,NG,,,,,-78.1,,,-55.74777,Lott and Smith 2006
38,NV,40.59,-115.15,NRubyMts-HeadAckler Cr,,HWIMVZ144644,CH,,,,,-77,,,-54.8109,Lott and Smith 2006
86,WI,44.5,-88.18,Oneida,,HWICH395595,RT,,,,,-76.5,,,-54.38505,Lott and Smith 2006
254,MT,48.4,-107.65,Bowdoin National Wildlife Refuge,,MSU17166,NH,,,,,-76.5,,,-54.38505,Lott and Smith 2006
231,MAN,50.23,-99.48,"Neepawa,",,CMN67375,BW,,,,,-76.4,,,-54.29988,Lott and Smith 2006
232,Man,49.98,-97.46,Rosser,,ROM29319,NH,,,,,-76.3,,,-54.21471,Lott and Smith 2006
9,UT,40.76,-111.89,Salt Lake City,,BYU18026,SW,,,,,-75.2,,,-53.27784,Lott and Smith 2006
64,WA,46.73,-120.7,Naches,,UW10823,AK,,,,,-75.1,,,-53.19267,Lott and Smith 2006
26,ONT,45.15,-75.61,"Ottawa (metro), Osgoode",,CMN39851,AK,,,,,-74.8,,,-52.93716,Lott and Smith 2006
241,ND,48.23,-98.73,Ramsey Co.,,HWICH130710,NH,,,,,-74.3,,,-52.51131,Lott and Smith 2006
34,Ont,44.45,-80.45,Redwing,,ROM151380,PG,,,,,-74.1,,,-52.34097,Lott and Smith 2006
261,MT,46.4,-105.84,Miles City,,FMNH130878,AK,,,,,-73.8,,,-52.08546,Lott and Smith 2006
90,NV,38.19,-116.37,Warm Springs,,HWIMVZ63526,CH,,,,,-72.6,,,-51.06342,Lott and Smith 2006
236,WY,43.86,-104.2,New Castle,,HWICH130376,RT,,,,,-72,,,-50.5524,Lott and Smith 2006
133,CO,39.94,-104.77,Barr Lake,,DMS22117,SW,,,,,-71.7,,,-50.29689,Lott and Smith 2006
82,OR,43.73,-121.21,EastLake,,HWIMVZ71811,SS,,,,,-71.7,,,-50.29689,Lott and Smith 2006
126,CO,39.23,-106,Fairplay,,AMNH234128,AK,,,,,-71.6,,,-50.21172,Lott and Smith 2006
17,AK,57.08,-132.88,Thomas Bay,,MVZ 9770,NG,,,,,-71.5,,,-50.12655,Lott and Smith 2006
120,IL,41.15,-88.06,Bonfield,,HWICH331524,CH,,,,,-71.4,,,-50.04138,Lott and Smith 2006
104,BC,53.9,-132.05,QuCh Is/Masset,,HWIMVZ99707,SS,,,,,-70.6,,,-49.36002,Lott and Smith 2006
112,QU,46.22,-71.77,Plessisville,,CMN95191,AK,,,,,-69.6,,,-48.50832,Lott and Smith 2006
21,CA,41.61,-121.67,,,BSU140,NG,,,,,-69.3,,,-48.25281,Lott and Smith 2006
13,Ont,44.17,-77.22,Belleville,,CMN83801,NH,,,,,-69.1,,,-48.08247,Lott and Smith 2006
199,NM,34.81,-106.73,Los Lunas,,UNM20768,CH,,,,,-69,,,-47.9973,Lott and Smith 2006
40,NV,41.79,-118.65,"Pine Forest Mts., N of Alder Ck.",,MVZ 9085,AK,,,,,-66,,,-45.4422,Lott and Smith 2006
80,Ont,42.59,-80.43,Long Point,,ROM27.9.1.166,NH,,,,,-65.9,,,-45.35703,Lott and Smith 2006
50,AK,59.64,-139.4,"Situk Lake, Yakutat",,ROM36.9.18.157,SS,,,,,-65.5,,,-45.01635,Lott and Smith 2006
97,UT,41.82,-113.33,Park valley,,BYU8400,NG,,,,,-64.5,,,-44.16465,Lott and Smith 2006
103,NM,35.77,-106.69,Jemez Springs,,UNM6251,NG,,,,,-63.2,,,-43.05744,Lott and Smith 2006
6,CA,38.73,-120.8,Placerville,,AMNH87241,RT,,,,,-62.7,,,-42.63159,Lott and Smith 2006
242,ND,48.23,-98.74,Ramsey Co,,FMNH130892,AK,,,,,-62.7,,,-42.63159,Lott and Smith 2006
71,BC,49.55,-125.03,"Comox Land Distr., Comox",,CMN8463,AK,,,,,-62.5,,,-42.46125,Lott and Smith 2006
69,ID,42.31,-113.37,Malta,,BYU8608,RT,,,,,-62.3,,,-42.29091,Lott and Smith 2006
162,Ont,49.38,-88.14,Macdiarmid,,ROM23.7.7.1,BW,,,,,-62.1,,,-42.12057,Lott and Smith 2006
194,QU,48.43,-72.15,"Mun. Rég. de Cté du Domaine-du-Roy, Chambord",,CMN30881,AK,,,,,-61.7,,,-41.77989,Lott and Smith 2006
255,SD,44.9,-100.81,Cheyenne R,,AMNH61212,RT,,,,,-61.5,,,-41.60955,Lott and Smith 2006
94,RI,41.58,-71.54,Exeter,,AMNH833224,RT,,,,,-60.8,,,-41.01336,Lott and Smith 2006
235,Man,49.86,-97.23,Deer Lodge,,ROM29543,CH,,,,,-60.4,,,-40.67268,Lott and Smith 2006
186,CO,40.87,-104.23,North Park - Grover,,DMS33791,PG,,,,,-60.2,,,-40.50234,Lott and Smith 2006
67,Ont,43.58,-79.94,Halton RM,,ROM102720,NG,,,,,-60.2,,,-40.50234,Lott and Smith 2006
52,NV,40.1,-115.7,"RubyMts/Willow Creek, WhitePineCounty line",,HWIMVZ144624,SS,,,,,-59.5,,,-39.90615,Lott and Smith 2006
22,CA,37.77,-122.24,Alameda,,MVZ 179949,CH,,,,,-59.1,,,-39.56547,Lott and Smith 2006
60,ID,42.32,-111.3,Montpelier,,FMNH156993,PR,,,,,-58.8,,,-39.30996,Lott and Smith 2006
214,Ont,49.73,-94.53,"Coney Is, Rat Portage Bay, Lake Abitibi",,ROM25.10.16.42,ML,,,,,-58.6,,,-39.13962,Lott and Smith 2006
55,NH,43.34,-71.57,Canterbury,,HWICH351184,NH,,,,,-58.5,,,-39.05445,Lott and Smith 2006
143,MN,43.85,-92.19,"Chatfield, 1 mi E",,HWICH356871,RT,,,,,-58,,,-38.6286,Lott and Smith 2006
115,Ont,42.02,-82.74,Kingsville,,ROM32.7.28.1,NH,,,,,-57.9,,,-38.54343,Lott and Smith 2006
101,BC,53.45,-132.3,"Graham I.,",,CMN20561,RT,,,,,-56.8,,,-37.60656,Lott and Smith 2006
130,OR,45.52,-122.66,Portland,,PSM1523,AK,,,,,-56.6,,,-37.43622,Lott and Smith 2006
185,QU,45.8,-71.36,"Mun. Rég. de Cté de l'Amiante, Lac Aylmer",,CMN59686,ML,,,,,-54.6,,,-35.73282,Lott and Smith 2006
119,AZ,34.56,-111.85,Fort Verde,,AMNH51611,PR,,,,,-54.1,,,-35.30697,Lott and Smith 2006
165,CO,38.44,-105.23,Canon City,,HWINC16657,AK,,,,,-53.6,,,-34.88112,Lott and Smith 2006
